code,n,threads,speedup1,efficiency1,speedup2,efficiency2,bandwidth
O,16,1,1.000000000,100.000000000,1.000000000,100.000000000,3115293329.676432133
O,16,2,0.668426899,33.421344961,0.609842071,30.492103535,1899836935.024363279
O,16,4,0.085401710,2.135042759,0.115367014,2.884175362,359402090.614785135
O,16,8,0.054104561,0.676307019,0.126094583,1.576182293,392821614.705199301
O,16,16,0.041734926,0.260843286,0.096204326,0.601277037,299704694.581385493
O,16,32,0.039195737,0.122486677,0.088430210,0.276344405,275486042.382559478
O,16,64,0.014324904,0.022382662,0.072426622,0.113166597,225630173.130285442
OR,16,1,1.000000000,100.000000000,1.000000000,100.000000000,3947636928.149818420
OR,16,2,0.493028309,24.651415464,0.325861206,16.293060281,1286381728.747724533
OR,16,4,0.226192360,5.654809001,0.122038039,3.050950982,481761870.529016733
OR,16,8,0.138949374,1.736867175,0.111101360,1.388767005,438587833.026451409
OR,16,16,0.086556206,0.540976285,0.089370883,0.558568020,352803798.809945524
OR,16,32,0.053903060,0.168447063,0.064911057,0.202847054,256245287.135247618
OR,16,64,0.000086797,0.000135620,0.000105764,0.000165255,417515.957840240
OB,16,1,1.000000000,100.000000000,1.000000000,100.000000000,3609595374.304023266
OB,16,2,0.418861075,20.943053754,0.359937609,17.996880465,1299229129.574136257
OB,16,4,0.316840915,7.921022880,0.278338420,6.958460498,1004689073.060545564
OB,16,8,0.267305431,3.341317883,0.243363214,3.042040171,878442730.274994731
OB,16,16,0.132013073,0.825081707,0.122960468,0.768502925,443837536.502072394
OB,16,32,0.077575525,0.242423516,0.085903024,0.268446950,310075158.314607739
OB,16,64,0.000137709,0.000215170,0.000115347,0.000180229,416355.038387067
OBT,16,1,1.000000000,100.000000000,1.000000000,100.000000000,3631675764.562882423
OBT,16,2,0.382835360,19.141767979,0.319014242,15.950712091,1158556290.568534851
OBT,16,4,0.372962091,9.324052274,0.310934830,7.773370744,1129214485.605363369
OBT,16,8,0.237892981,2.973662260,0.221678440,2.770980506,805064219.777645111
OBT,16,16,0.129145751,0.807160944,0.132688319,0.829301997,481880953.994113147
OBT,16,32,0.076775583,0.239923696,0.089064743,0.278327322,323454269.073450804
OBT,16,64,0.000131786,0.000205915,0.000115317,0.000180183,418794.052355177
OB_S,16,1,1.000000000,100.000000000,1.000000000,100.000000000,3673757811.125070095
OB_S,16,2,0.422722208,21.136110387,0.362227139,18.111356936,1330734780.253774881
OB_S,16,4,0.298731450,7.468286261,0.268418768,6.710469200,986105545.608805060
OB_S,16,8,0.252016170,3.150202122,0.247627873,3.095348414,909724833.095596671
OB_S,16,16,0.124491675,0.778072967,0.139799070,0.873744187,513587925.031436205
OB_S,16,32,0.068616962,0.214428007,0.093455072,0.292047101,343331301.921011209
OB_S,16,64,0.000126224,0.000197225,0.000113401,0.000177189,416607.573471688
OB_D,16,1,1.000000000,100.000000000,1.000000000,100.000000000,3411623374.961214542
OB_D,16,2,0.320772123,16.038606141,0.246105491,12.305274540,839619245.118881822
OB_D,16,4,0.201700184,5.042504589,0.155549678,3.888741949,530676917.355244279
OB_D,16,8,0.166723101,2.084038767,0.131874337,1.648429214,449905571.067551851
OB_D,16,16,0.097611967,0.610074796,0.093245810,0.582786310,318119583.858270884
OB_D,16,32,0.056913281,0.177854002,0.060776881,0.189927754,207347829.193209559
OB_D,16,64,0.000130888,0.000204512,0.000121705,0.000190164,415211.611553637
OBf,16,1,1.000000000,100.000000000,1.000000000,100.000000000,6009836611.657702446
OBf,16,2,0.244538159,12.226907954,0.193843689,9.692184460,1164968900.348798275
OBf,16,4,0.123951398,3.098784957,0.096125393,2.403134825,577697906.215848207
OBf,16,8,0.100627602,1.257845029,0.083256426,1.040705326,500357517.604935110
OBf,16,16,0.056318907,0.351993171,0.051726419,0.323290121,310867328.422840655
OBf,16,32,0.033094448,0.103420151,0.034429002,0.107590632,206912678.649848372
OBf,16,64,0.000073556,0.000114931,0.000069435,0.000108493,417294.769090539
O,32,1,1.000000000,100.000000000,1.000000000,100.000000000,4860149528.250011444
O,32,2,0.403406260,20.170313005,0.221984546,11.099227278,1078878084.411627531
O,32,4,0.211403102,5.285077542,0.220318309,5.507957724,1070779925.426980615
O,32,8,0.147175777,1.839697216,0.347507517,4.343843965,1688938495.756193161
O,32,16,0.063410883,0.396318020,0.186987032,1.168668948,908784933.733376384
O,32,32,0.035341291,0.110441534,0.172199747,0.538124208,836916516.862604737
O,32,64,0.028694466,0.044835103,0.150348407,0.234919386,730715740.145742893
OR,32,1,1.000000000,100.000000000,1.000000000,100.000000000,5530436584.374103546
OR,32,2,0.488509494,24.425474689,0.102525241,5.126262027,567009341.129221082
OR,32,4,0.354162130,8.854053252,0.056433952,1.410848799,312104392.429298937
OR,32,8,0.283754367,3.546929583,0.095315786,1.191447320,527137907.683043659
OR,32,16,0.184158584,1.150991150,0.122846520,0.767790751,679394889.407792687
OR,32,32,0.108261354,0.338316731,0.128291399,0.400910622,709507446.217065096
OR,32,64,0.000217891,0.000340454,0.000302366,0.000472447,1672215.371092689
OB,32,1,1.000000000,100.000000000,1.000000000,100.000000000,5276423240.855735779
OB,32,2,0.860495405,43.024770266,0.818921712,40.946085617,4320977555.425432205
OB,32,4,0.645786648,16.144666201,0.603939276,15.098481906,3186639233.290246010
OB,32,8,0.472234686,5.902933581,0.499924429,6.249055363,2637812876.267612457
OB,32,16,0.318621169,1.991382305,0.369230060,2.307687878,1948214072.310846090
OB,32,32,0.192416907,0.601302833,0.223861100,0.699565936,1181185908.612951040
OB,32,64,0.000361022,0.000564097,0.000316772,0.000494956,1671421.453598629
OBT,32,1,1.000000000,100.000000000,1.000000000,100.000000000,5276296639.310513496
OBT,32,2,0.655729691,32.786484573,0.627014455,31.350722736,3308314260.281391621
OBT,32,4,0.554312909,13.857822734,0.506785118,12.669627961,2673948617.382549286
OBT,32,8,0.476306370,5.953829630,0.482645451,6.033068140,2546580572.021493435
OBT,32,16,0.317797702,1.986235640,0.377879608,2.361747548,1993804904.356403828
OBT,32,32,0.184058197,0.575181867,0.227170849,0.709908903,1198620786.095055819
OBT,32,64,0.000353891,0.000552955,0.000316810,0.000495016,1671584.307409711
OB_S,32,1,1.000000000,100.000000000,1.000000000,100.000000000,5313241781.480443954
OB_S,32,2,0.642218856,32.110942796,0.615504047,30.775202330,3270321817.012631893
OB_S,32,4,0.522296006,13.057400140,0.506881695,12.672042365,2693184998.116382599
OB_S,32,8,0.486758634,6.084482929,0.496673451,6.208418137,2638946131.449088573
OB_S,32,16,0.316119982,1.975749887,0.403645996,2.522787474,2144668770.239061117
OB_S,32,32,0.196009296,0.612529049,0.251736223,0.786675697,1337535418.191019297
OB_S,32,64,0.000339218,0.000530028,0.000314175,0.000490898,1669285.951979847
OB_D,32,1,1.000000000,100.000000000,1.000000000,100.000000000,5238713314.033599854
OB_D,32,2,0.878166425,43.908321271,0.707523859,35.376192932,3706514658.279480934
OB_D,32,4,0.482111862,12.052796541,0.309336454,7.733411350,1620525000.001473904
OB_D,32,8,0.393856043,4.923200538,0.261183053,3.264788161,1368263136.526203871
OB_D,32,16,0.270365875,1.689786717,0.206605444,1.291284027,1082346691.594010592
OB_D,32,32,0.169760973,0.530503040,0.156632683,0.489477135,820553722.584877372
OB_D,32,64,0.000372357,0.000581807,0.000318989,0.000498420,1671089.781166078
OBf,32,1,1.000000000,100.000000000,1.000000000,100.000000000,16894250757.137151718
OBf,32,2,0.655338752,32.766937590,0.448349741,22.417487031,7574532945.087800980
OBf,32,4,0.209635424,5.240885600,0.136482885,3.412072115,2305776076.334116936
OBf,32,8,0.151989406,1.899867573,0.106774422,1.334680277,1803873862.687193871
OBf,32,16,0.086577680,0.541110501,0.079196089,0.494975559,1337958594.636296988
OBf,32,32,0.050299392,0.157185600,0.047700158,0.149062993,805858428.241612792
OBf,32,64,0.000112570,0.000175891,0.000098717,0.000154246,1667753.937869343
O,64,1,1.000000000,100.000000000,1.000000000,100.000000000,5536503984.093105316
O,64,2,0.259540147,12.977007329,1.490638619,74.531930964,8252926654.445658684
O,64,4,0.204419115,5.110477868,0.617795683,15.444892063,3420428257.590209961
O,64,8,0.072696137,0.908701707,0.239558352,2.994479397,1326315769.014207602
O,64,16,0.048463190,0.302894938,0.202556007,1.265975042,1121452137.947353840
O,64,32,0.038657694,0.120805294,0.278789798,0.871218120,1543520829.626302004
O,64,64,0.025917331,0.040495830,0.359780745,0.562157415,1991927530.069499493
OR,64,1,1.000000000,100.000000000,1.000000000,100.000000000,5909756250.131348610
OR,64,2,0.916938543,45.846927162,1.448064709,72.403235473,8557709467.287246704
OR,64,4,0.735459234,18.386480853,0.190120541,4.753013516,1123566053.413530350
OR,64,8,0.587187099,7.339838739,0.104943240,1.311790502,620188969.651674032
OR,64,16,0.437048348,2.731552177,0.165450798,1.034067490,977773889.645666242
OR,64,32,0.301913495,0.943479672,0.246213423,0.769416948,1455061317.085871935
OR,64,64,0.000733235,0.001145680,0.001122093,0.001753270,6631296.823913060
OB,64,1,1.000000000,100.000000000,1.000000000,100.000000000,5891390210.193685532
OB,64,2,1.392796829,69.639841425,1.180701568,59.035078424,6955973661.691463470
OB,64,4,1.179616867,29.490421678,1.188990875,29.724771884,7004809203.158023834
OB,64,8,0.965875573,12.073444665,0.872503530,10.906294121,5140258752.961636543
OB,64,16,0.695905101,4.349406883,0.792247968,4.951549801,4667441924.077929497
OB,64,32,0.476130063,1.487906447,0.519118171,1.622244283,3058327708.450852871
OB,64,64,0.000945837,0.001477871,0.001128891,0.001763893,6650739.253839557
OBT,64,1,1.000000000,100.000000000,1.000000000,100.000000000,5918599940.389373779
OBT,64,2,1.352343123,67.617156148,1.203112174,60.155608697,7120739640.961791039
OBT,64,4,1.542194023,38.554850587,0.912690653,22.817266334,5401850846.507012367
OBT,64,8,1.210337996,15.129224949,0.766067975,9.575849687,4534049871.035583496
OBT,64,16,0.837175315,5.232345717,0.795963247,4.974770291,4710988023.531126022
OBT,64,32,0.484772540,1.514914187,0.597488757,1.867152366,3536296922.862424850
OBT,64,64,0.000902812,0.001410644,0.001127543,0.001761785,6673473.412789061
OB_S,64,1,1.000000000,100.000000000,1.000000000,100.000000000,5952903141.285883904
OB_S,64,2,1.189835374,59.491768711,1.356363263,67.818163126,8074299126.127002716
OB_S,64,4,0.982387563,24.559689064,0.962418111,24.060452780,5729181797.474653244
OB_S,64,8,0.912495495,11.406193688,0.812921008,10.161512604,4839240024.101316452
OB_S,64,16,0.647583424,4.047396397,0.707436439,4.421477741,4211300597.412346840
OB_S,64,32,0.475904160,1.487200499,0.496342632,1.551070724,2954679611.518157482
OB_S,64,64,0.000895913,0.001399865,0.001124946,0.001757729,6696696.823299231
OB_D,64,1,1.000000000,100.000000000,1.000000000,100.000000000,5894043047.104941368
OB_D,64,2,1.352534955,67.626747743,1.530808604,76.540430202,9022651809.135389328
OB_D,64,4,1.035645588,25.891139708,0.439861496,10.996537392,2592562590.214977264
OB_D,64,8,0.836624679,10.457808492,0.307325592,3.841569896,1811390266.909116507
OB_D,64,16,0.612193910,3.826211938,0.292393387,1.827458670,1723379210.382485867
OB_D,64,32,0.429388004,1.341837511,0.310081337,0.969004177,1827632746.570523739
OB_D,64,64,0.000962683,0.001504192,0.001135310,0.001773922,6691566.167007471
OBf,64,1,1.000000000,100.000000000,1.000000000,100.000000000,20613073139.096935272
OBf,64,2,0.951064467,47.553223364,0.751126538,37.556326921,15483026273.354551315
OBf,64,4,0.447979921,11.199498032,0.267259737,6.681493414,5509044496.655527115
OBf,64,8,0.303586684,3.794833552,0.201987097,2.524838708,4163574796.442348957
OBf,64,16,0.184833825,1.155211405,0.179979266,1.124870411,3709925769.458979130
OBf,64,32,0.102393536,0.319979800,0.147256599,0.460176871,3035411036.483211994
OBf,64,64,0.000237532,0.000371144,0.000323622,0.000505660,6670852.035157676
O,128,1,1.000000000,100.000000000,1.000000000,100.000000000,3035320432.279442787
O,128,2,0.366107090,18.305354500,1.465852027,73.292601346,4449330608.024744987
O,128,4,0.208693384,5.217334600,1.834295977,45.857399437,5567676059.251194954
O,128,8,0.070785400,0.884817505,0.857671572,10.720894648,2603308046.265645981
O,128,16,0.045006307,0.281289416,0.625012806,3.906330036,1897114139.930746317
O,128,32,0.036100274,0.112813357,0.679092664,2.122164577,2061263839.967380047
O,128,64,0.024953997,0.038990620,1.210466381,1.891353720,3674153338.603212357
OR,128,1,1.000000000,100.000000000,1.000000000,100.000000000,2840244712.524487972
OR,128,2,0.988439731,49.421986562,1.563588143,78.179407150,4440972955.693736076
OR,128,4,0.923586418,23.089660454,0.998436713,24.960917829,2835804595.337285042
OR,128,8,0.851214125,10.640176563,0.546216410,6.827705128,1551388270.970483065
OR,128,16,0.731059472,4.569121700,0.400552609,2.503453805,1137667429.053747892
OR,128,32,0.670628459,2.095713935,0.659397279,2.060616498,1872849635.826152802
OR,128,64,0.002845319,0.004445811,0.009334577,0.014585276,26512481.944972962
OB,128,1,1.000000000,100.000000000,1.000000000,100.000000000,6567924601.238006592
OB,128,2,1.394890798,69.744539915,1.406922996,70.346149806,9240564158.218299866
OB,128,4,2.070641781,51.766044535,0.808524935,20.213123369,5310330809.830769539
OB,128,8,1.756648842,21.958110531,0.966533790,12.081672376,6348121057.740515709
OB,128,16,1.413092360,8.831827251,1.277789598,7.986184988,8392425736.698537827
OB,128,32,1.321605731,4.130017910,1.243486032,3.885893850,8167122500.628357887
OB,128,64,0.002675572,0.004180581,0.004060943,0.006345223,26671965.492275439
OBT,128,1,1.000000000,100.000000000,1.000000000,100.000000000,6460191234.773616791
OBT,128,2,1.863314167,93.165708357,0.807353550,40.367677491,5215658325.936062813
OBT,128,4,2.541011056,63.525276389,0.836003591,20.900089766,5400743068.449212074
OBT,128,8,2.925484476,36.568555955,1.047398896,13.092486194,6766397164.088010788
OBT,128,16,2.308161258,14.426007862,1.429823018,8.936393865,9236930131.183813095
OBT,128,32,2.282422852,7.132571413,1.286636765,4.020739891,8311919552.325275421
OBT,128,64,0.002795310,0.004367672,0.004128445,0.006450696,26670546.313462701
OB_S,128,1,1.000000000,100.000000000,1.000000000,100.000000000,6514825791.510744095
OB_S,128,2,1.635436070,81.771803503,1.783361952,89.168097584,11618292438.426078796
OB_S,128,4,2.202161949,55.054048734,3.207329631,80.183240787,20895193805.167919159
OB_S,128,8,1.959027038,24.487837972,1.122158586,14.026982320,7310667695.774386406
OB_S,128,16,1.515384364,9.471152278,1.255095178,7.844344863,8176726436.462088585
OB_S,128,32,1.360655624,4.252048824,1.186047380,3.706398062,7726892060.261389732
OB_S,128,64,0.002777825,0.004340351,0.004097939,0.006403030,26697360.685155809
OB_D,128,1,1.000000000,100.000000000,1.000000000,100.000000000,6405679279.716801643
OB_D,128,2,1.727945336,86.397266823,1.699084242,84.954212103,10883788723.850910187
OB_D,128,4,2.126012432,53.150310800,1.342428711,33.560717782,8599167780.451765060
OB_D,128,8,1.757813606,21.972670081,1.071409567,13.392619586,6863106062.742608070
OB_D,128,16,1.391077705,8.694235658,1.133242581,7.082766129,7259188517.966837883
OB_D,128,32,1.177967484,3.681148389,0.956136353,2.987926104,6124702826.732136726
OB_D,128,64,0.002955552,0.004618049,0.004172767,0.006519949,26729408.342668511
OBf,128,1,1.000000000,100.000000000,1.000000000,100.000000000,13291024456.084629059
OBf,128,2,0.928198756,46.409937782,0.786822936,39.341146790,10457682882.333288193
OBf,128,4,1.162110849,29.052771231,1.114659862,27.866496556,14814971489.074157715
OBf,128,8,0.737946746,9.224334322,0.766419419,9.580242732,10186499235.335058212
OBf,128,16,0.493337646,3.083360287,0.824407845,5.152549029,10957224824.663211823
OBf,128,32,0.383452355,1.198288608,0.671662983,2.098946821,8927089128.073348999
OBf,128,64,0.000663282,0.001036378,0.002004277,0.003131683,26638899.377019159
O,256,1,1.000000000,100.000000000,1.000000000,100.000000000,2289643964.996292591
O,256,2,0.376866079,18.843303962,1.817631867,90.881593361,4161729835.375364304
O,256,4,0.203093705,5.077342625,3.276823953,81.920598813,7502760187.285968781
O,256,8,0.046832801,0.585410009,2.819222614,35.240282675,6455016044.047900200
O,256,16,0.038758412,0.242240078,3.419479587,21.371747419,7829390800.069539070
O,256,32,0.029862826,0.093321332,2.748035608,8.587611274,6292023144.870807648
O,256,64,0.019470667,0.030422917,1.772748910,2.769920172,4058963842.746462822
OR,256,1,1.000000000,100.000000000,1.000000000,100.000000000,2280329841.247842789
OR,256,2,0.978401298,48.920064925,1.509643804,75.482190211,3442485816.439388752
OR,256,4,0.979069940,24.476748503,2.453207711,61.330192767,5594122749.475257874
OR,256,8,0.948644650,11.858058131,3.134803047,39.185038083,7148384933.701178551
OR,256,16,0.905879298,5.661745614,4.471503260,27.946895373,10196502318.150171280
OR,256,32,0.845254103,2.641419072,3.160405073,9.876265854,7206765998.744195938
OR,256,64,0.011474863,0.017929473,0.046146515,0.072103930,105229275.119058684
OB,256,1,1.000000000,100.000000000,1.000000000,100.000000000,2369760261.238789558
OB,256,2,1.382539559,69.126977950,1.880574585,94.028729271,4456510920.810244560
OB,256,4,2.307068868,57.676721702,3.114230642,77.855766062,7379980020.910561562
OB,256,8,3.756851157,46.960639459,2.375234668,29.690433352,5628736727.811767578
OB,256,16,3.125477584,19.534234899,3.516854265,21.980339158,8334101482.395569801
OB,256,32,2.465604678,7.705014618,4.790848803,14.971402510,11353163111.526287079
OB,256,64,0.009443634,0.014755678,0.044980243,0.070281630,106592392.842860639
OBT,256,1,1.000000000,100.000000000,1.000000000,100.000000000,2348824217.683180332
OBT,256,2,2.000580746,100.029037323,1.870680195,93.534009741,4393898945.118492126
OBT,256,4,3.633922590,90.848064755,2.041625418,51.040635446,4795419224.888050079
OBT,256,8,5.419298373,67.741229663,2.100727016,26.259087694,4934238488.873469353
OBT,256,16,5.569011739,34.806323368,3.306671258,20.666695364,7766789531.110648155
OBT,256,32,6.354700597,19.858439365,5.116645461,15.989517064,12018100771.048107147
OBT,256,64,0.009568097,0.014950152,0.045220177,0.070656526,106214246.204711765
